Testcase_Number Left_Coin_Pile Right_Coin_Pile Computation_Time Number_of_Coins
805 16,12,6,16,21,14 19,8,17,19,22 0 11
806 7,7,12,18,19,3 21,8,4,18,15 0 11
807 0 0 0 11
808 0 0 1418100 11
809 0 0 1045000 11
810 6,9,12,6,18,12,20 23,21,19,20 0 11
811 10,14,12,10,22,13 16,14,12,22,17 0 11
812 13,14,19,14,6,4 9,21,5,17,18 0 11
813 0 0 1033300 11
814 0 0 0 11
815 0 0 1020600 11
816 0 0 1018800 11
817 0 0 1018500 11
818 12,18,4,19,13 12,11,9,2,16,16 0 11
819 18,22,2,11,9,9 4,11,16,23,17 0 11
820 0 0 0 11
821 9,5,14,23,6 7,2,19,22,5,2 0 11
822 17,14,14,18,11,9 25,12,24,9,13 0 11
823 20,4,20,8,8,8 14,11,13,11,19 0 11
824 0 0 1025600 11
825 0 0 1053100 11
826 13,6,3,2,19,3,21 16,13,15,23 0 11
827 0 0 989700 11
828 0 0 508200 11
829 24,6,18,23,5,2 10,3,24,16,25 0 11
830 16,8,9,25,17 20,14,2,11,3,25 0 11
831 15,10,4,8,14,12 16,3,8,20,16 0 11
832 0 0 1433600 11
833 0 0 0 11
834 11,8,17,17,20 23,11,22,7,5,5 0 11
835 15,9,17,17,3,9,5 25,3,24,23 0 11
836 18,17,25,21,3 4,14,13,25,22,6 0 11
837 0 0 1064700 11
838 0 0 1021400 11
839 5,8,24,25,14,4,2 23,19,25,15 0 11
840 14,23,23,3,10 21,3,24,6,12,7 0 11
841 10,14,3,17,4,8,8 21,21,14,8 0 11
842 7,4,23,25,20 14,15,12,21,15,2 0 11
843 5,2,11,16,22,21,3 15,20,20,25 0 11
844 0 0 1034200 11
845 0 0 1012500 11
846 0 0 0 11
847 24,4,7,21,11,4 23,13,16,2,17 0 11
848 10,17,5,16,7,25 10,18,8,24,20 0 11
849 0 0 1066800 11
850 20,16,19,17,3 13,16,22,8,13,3 0 11
851 0 0 1064700 11
852 0 0 1042100 11
853 0 0 0 11
854 5,6,10,18,21,18 17,5,15,16,25 0 11
855 0 0 1508000 11
856 0 0 0 11
857 22,25,23,24,13 22,25,24,6,24,6 0 11
858 0 0 1190500 11
859 25,25,3,15,16 5,23,18,21,13,4 0 11
860 0 0 1013000 11
861 0 0 1021500 11
862 24,20,11,20,23,4 15,22,23,18,24 0 11
863 18,5,17,19,18 6,22,6,3,15,25 0 11
864 0 0 0 11
865 0 0 1292000 11
866 10,8,5,24,7,5 20,4,10,9,16 0 11
867 0 0 1022900 11
868 0 0 0 11
869 0 0 1038600 11
870 19,7,11,14,9,6 13,14,10,17,12 0 11
871 0 0 1014800 11
872 0 0 1057500 11
873 0 0 510500 11
874 0 0 1014100 11
875 25,23,10,4,17 14,13,6,22,18,6 0 11
876 7,12,2,4,3,15,21 9,24,13,18 0 11
877 0 0 0 11
878 11,6,18,8,9,25 2,17,10,24,24 0 11
879 0 0 1368100 11
880 0 0 1126600 11
881 8,17,14,22,15,4 5,21,13,24,17 0 11
882 0 0 1034300 11
883 0 0 0 11
884 2,22,11,6,14,15 22,14,10,20,4 0 11
885 0 0 1020700 11
886 0 0 1019000 11
887 0 0 1018500 11
